proposed_pehe,benchmark_pehe,proposed_coverage,benchmark_coverage
0.6796762905372755,0.8113688155849039,0.95,0.95
0.8351199124850059,1.2084174682426911,0.85,0.85
0.7883429296111728,0.9738437216818174,0.95,0.95
0.8831318584989565,0.8951948086651695,0.85,0.95
0.973766877360025,1.0022502095473462,0.8,0.85
0.9176703474987488,1.1612383195618694,0.8,0.85
0.9185136704519549,0.817817986557692,0.8,1.0
0.8226809579004061,0.740013422267398,0.9,1.0
0.9012251259532682,1.1523635322641477,0.85,0.8
0.6951887662915659,0.71671736304484,0.95,0.95
1.1914220509601023,0.8421218367027438,0.65,0.95
0.7911283563561405,0.8355164727298737,0.85,0.95
0.7762675149647797,0.6835000967660961,0.95,0.95
0.8621482256242587,1.2545791840948282,0.85,0.85
0.9547351199555274,1.0120899911084271,0.8,0.85
0.7538602861305695,1.020515562237241,0.9,0.95
0.8948199765430415,1.2217045360000398,0.8,0.85
0.9282095887102988,1.3073076763016742,0.8,0.75
0.8101409794524166,0.8549925823421877,0.9,0.95
0.673791985120225,0.9867642127308021,1.0,0.85
0.8471864708931744,0.7876904813583335,0.85,0.95
0.9649339076287935,0.8352496445691246,0.85,0.95
0.8100041328761177,0.9215443301890412,0.85,0.9
0.9770561213398817,1.212695184370727,0.75,0.75
0.8461888484334901,0.9812798766684325,0.9,0.9
0.7942003191156408,0.7589970534140853,0.85,0.95
0.6214545699682633,0.8318946273543228,0.95,0.95
0.7914042214711108,1.1781620480441362,0.9,0.75
0.5908573058641691,1.1410960985398313,0.95,0.85
0.6383425676200052,1.0057452638289694,0.95,0.85
0.9183188284946442,1.2282644868962576,0.8,0.8
0.7916061063803059,0.7814686612076756,0.95,0.95
0.8278230474760406,0.9682360651460867,0.8,0.95
0.5549565677531385,1.167915833001678,1.0,0.8
0.8894625858313973,1.3456957376194825,0.85,0.65
0.8181019318446915,0.7975032591404466,0.8,0.95
0.7131798862443386,0.946310548572461,0.9,0.9
0.7709712204105652,1.0693083410477513,0.85,0.7
0.6611621838141117,1.0659145659360483,0.9,0.9
0.615912581393546,1.1781419106452626,1.0,0.8
0.6774138152070519,1.08243166494714,0.95,0.8
0.7624713798874216,0.8992130207279044,0.95,0.9
0.7058599526750243,0.8740461914868398,0.95,0.95
0.5804106702501498,0.9742744242943009,1.0,0.8
0.5974452556261051,1.0561116552810732,0.9,0.9
0.8860553232788676,1.0344045070421533,0.8,0.85
0.8443635429861005,0.8617398746107284,0.85,0.95
1.007502815416724,0.9460828801097894,0.85,0.95
0.6386869237239068,0.8925027730743302,1.0,0.95
0.8791621063925795,1.0456814533348229,0.85,0.85
0.8357421714063236,0.9585597578597269,0.85,0.9
0.8368272984000319,1.1081389759980216,0.95,0.85
0.8588930144242821,1.155601518001804,0.85,0.85
0.7661644429224134,1.0495099074590732,0.95,0.9
0.7809693465974034,0.9852346083075767,0.9,0.95
0.7148042870388196,0.8903390635987717,1.0,0.95
0.8836480880937824,0.8870754613927765,0.75,0.95
0.8405920682421013,1.1610574059128034,0.95,0.85
0.753808130671242,1.0120248255150177,0.95,0.9
0.7789365791037766,1.0914329092294945,0.9,0.9
0.8099811318212339,0.9187140470994466,0.9,0.9
0.795691678234743,0.9266051592672228,0.85,0.8
0.710422168330017,0.9392268768635994,1.0,0.95
0.7791761658643686,1.1650935012922958,0.85,0.9
0.6816760985017379,0.9826568529790405,1.0,1.0
0.6022394907364436,1.1817610533163958,0.95,0.9
0.9116994902486968,0.8983326335793186,0.8,0.95
0.9143446997416692,1.027621257929492,0.9,0.9
0.8117810262565273,0.9624560535862856,0.85,0.9
0.5614125857395885,1.4734913338632833,1.0,0.8
