paper_id,bibtex,entry_type,venue,publisher,year,peer_reviewed,publisher_type,publisher_family,publisher_type_source,doaj_listed,is_open_access,J_verbatim,J_numeric,J_report_reported,J_coding_rule,n_scenarios,J_is_outer_replication,confounded_with,justification_given,justification_quote,justification_type,is_arxiv_preprint
Wu2022,"@article{Wu2022,
  title = {Matching on Generalized Propensity Scores with Continuous Exposures},
  volume = {119},
  ISSN = {1537-274X},
  url = {http://dx.doi.org/10.1080/01621459.2022.2144737},
  DOI = {10.1080/01621459.2022.2144737},
  number = {545},
  journal = {Journal of the American Statistical Association},
  publisher = {Informa UK Limited},
  author = {Wu,  Xiao and Mealli,  Fabrizia and Kioumourtzoglou,  Marianthi-Anna and Dominici,  Francesca and Braun,  Danielle},
  year = {2022},
  month = dec,
  pages = {757–772}
}",article,Journal of the American Statistical Association,Informa UK Limited,2022,Y,hybrid/subscription,commercial,not listed in DOAJ,0,0,500,500,1,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,,REVIEW_REQUIRED,0
Kennedy2016,"@article{Kennedy2016,
  title = {Non-parametric Methods for Doubly Robust Estimation of Continuous Treatment Effects},
  volume = {79},
  ISSN = {1467-9868},
  url = {http://dx.doi.org/10.1111/rssb.12212},
  DOI = {10.1111/rssb.12212},
  number = {4},
  journal = {Journal of the Royal Statistical Society Series B: Statistical Methodology},
  publisher = {Oxford University Press (OUP)},
  author = {Kennedy,  Edward H. and Ma,  Zongming and McHugh,  Matthew D. and Small,  Dylan S.},
  year = {2016},
  month = sep,
  pages = {1229–1245}
}",article,Journal of the Royal Statistical Society Series B: Statistical Methodology,Oxford University Press (OUP),2016,Y,hybrid/subscription,university-press,not listed in DOAJ,0,0,500,500,1,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,,REVIEW_REQUIRED,0
Wager2018,"@article{Wager2018,
  title = {Estimation and Inference of Heterogeneous Treatment Effects using Random Forests},
  volume = {113},
  ISSN = {1537-274X},
  url = {http://dx.doi.org/10.1080/01621459.2017.1319839},
  DOI = {10.1080/01621459.2017.1319839},
  number = {523},
  journal = {Journal of the American Statistical Association},
  publisher = {Informa UK Limited},
  author = {Wager,  Stefan and Athey,  Susan},
  year = {2018},
  month = jun,
  pages = {1228–1242}
}",article,Journal of the American Statistical Association,Informa UK Limited,2018,Y,hybrid/subscription,commercial,not listed in DOAJ,0,0,500,500,1,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,,REVIEW_REQUIRED,0
Hahn2020,"@article{Hahn2020,
  title = {Bayesian Regression Tree Models for Causal Inference: Regularization,  Confounding,  and Heterogeneous Effects (with Discussion)},
  volume = {15},
  ISSN = {1936-0975},
  url = {http://dx.doi.org/10.1214/19-BA1195},
  DOI = {10.1214/19-ba1195},
  number = {3},
  journal = {Bayesian Analysis},
  publisher = {Institute of Mathematical Statistics},
  author = {Hahn,  P. Richard and Murray,  Jared S. and Carvalho,  Carlos M.},
  year = {2020},
  month = sep 
}",article,Bayesian Analysis,Institute of Mathematical Statistics,2020,Y,diamond-OA,society,DOAJ exact title match (1931-6690),1,1,200,200,1,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,,REVIEW_REQUIRED,0
pmlr-v130-curth21a,"@InProceedings{pmlr-v130-curth21a,
  title = 	 { Nonparametric Estimation of Heterogeneous Treatment Effects: From Theory to Learning Algorithms },
  author =       {Curth, Alicia and van der Schaar, Mihaela},
  booktitle = 	 {Proceedings of The 24th International Conference on Artificial Intelligence and Statistics},
  pages = 	 {1810--1818},
  year = 	 {2021},
  editor = 	 {Banerjee, Arindam and Fukumizu, Kenji},
  volume = 	 {130},
  series = 	 {Proceedings of Machine Learning Research},
  month = 	 {13--15 Apr},
  publisher =    {PMLR},
  pdf = 	 {http://proceedings.mlr.press/v130/curth21a/curth21a.pdf},
  url = 	 {https://proceedings.mlr.press/v130/curth21a.html},
}",inproceedings,Proceedings of The 24th International Conference on Artificial Intelligence and Statistics,PMLR,2021,Y,conference,conference,entry type / proceedings title,0,0,100,100,1,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,,REVIEW_REQUIRED,0
pmlr-v70-shalit17a,"@InProceedings{pmlr-v70-shalit17a,
  title = 	 {Estimating individual treatment effect: generalization bounds and algorithms},
  author =       {Uri Shalit and Fredrik D. Johansson and David Sontag},
  booktitle = 	 {Proceedings of the 34th International Conference on Machine Learning},
  pages = 	 {3076--3085},
  year = 	 {2017},
  editor = 	 {Precup, Doina and Teh, Yee Whye},
  volume = 	 {70},
  series = 	 {Proceedings of Machine Learning Research},
  month = 	 {06--11 Aug},
  publisher =    {PMLR},
  pdf = 	 {http://proceedings.mlr.press/v70/shalit17a/shalit17a.pdf},
  url = 	 {https://proceedings.mlr.press/v70/shalit17a.html},
}",inproceedings,Proceedings of the 34th International Conference on Machine Learning,PMLR,2017,Y,conference,conference,entry type / proceedings title,0,0,1000,1000,1,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,,REVIEW_REQUIRED,0
NEURIPS2019_8fb5f8be,"@inproceedings{NEURIPS2019_8fb5f8be,
 author = {Shi, Claudia and Blei, David and Veitch, Victor},
 booktitle = {Advances in Neural Information Processing Systems},
 editor = {H. Wallach and H. Larochelle and A. Beygelzimer and F. d\textquotesingle Alch\'{e}-Buc and E. Fox and R. Garnett},
 pages = {},
 publisher = {Curran Associates, Inc.},
 title = {Adapting Neural Networks for the Estimation of Treatment Effects},
 url = {https://proceedings.neurips.cc/paper_files/paper/2019/file/8fb5f8be2aa9d6c64a04e3ab9f63feee-Paper.pdf},
 volume = {32},
 year = {2019}
}",inproceedings,Advances in Neural Information Processing Systems,"Curran Associates, Inc.",2019,Y,conference,conference,entry type / proceedings title,0,0,1000,1000,1,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,,REVIEW_REQUIRED,0
Hassanpour2020Learning,"@inproceedings{
Hassanpour2020Learning,
title={Learning Disentangled Representations for CounterFactual Regression}, publisher = {International Conference on Learning Representations (ICLR)},
author={Negar Hassanpour and Russell Greiner},
booktitle={International Conference on Learning Representations},
year={2020},
url={https://openreview.net/forum?id=HkxBJT4YvB}
}",inproceedings,International Conference on Learning Representations,International Conference on Learning Representations (ICLR),2020,Y,conference,conference,entry type / proceedings title,0,0,100,100,1,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,,REVIEW_REQUIRED,0
BENCHMARKS2021_2a79ea27,"@inproceedings{BENCHMARKS2021_2a79ea27,
 author = {Curth, Alicia and Svensson, David and Weatherall, Jim and van der Schaar, Mihaela},
 booktitle = {Proceedings of the Neural Information Processing Systems Track on Datasets and Benchmarks},
 editor = {J. Vanschoren and S. Yeung},
 pages = {},
 publisher = {Curran},
 title = {Really Doing Great at Estimating CATE? A Critical Look at ML Benchmarking Practices in Treatment Effect Estimation},
 url = {https://datasets-benchmarks-proceedings.neurips.cc/paper_files/paper/2021/file/2a79ea27c279e471f4d180b08d62b00a-Paper-round2.pdf},
 volume = {1},
 year = {2021}
}",inproceedings,Proceedings of the Neural Information Processing Systems Track on Datasets and Benchmarks,Curran,2021,Y,conference,conference,entry type / proceedings title,0,0,100,100,1,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,,REVIEW_REQUIRED,0
Hill2011,"@article{Hill2011,
  title = {Bayesian Nonparametric Modeling for Causal Inference},
  volume = {20},
  ISSN = {1537-2715},
  url = {http://dx.doi.org/10.1198/jcgs.2010.08162},
  DOI = {10.1198/jcgs.2010.08162},
  number = {1},
  journal = {Journal of Computational and Graphical Statistics},
  publisher = {Informa UK Limited},
  author = {Hill,  Jennifer L.},
  year = {2011},
  month = jan,
  pages = {217–240}
}",article,Journal of Computational and Graphical Statistics,Informa UK Limited,2011,Y,hybrid/subscription,commercial,not listed in DOAJ,0,0,1000,1000,1,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,,REVIEW_REQUIRED,0
