"proposed_pehe","benchmark_pehe","proposed_coverage","benchmark_coverage"
0.981047035779192,1.0658820694613,0.75,0.85
0.772341013308898,1.20328907993315,0.9,0.8
0.820802129568434,1.05844277332986,0.9,0.85
0.840630398963318,0.971182761915846,0.85,0.85
0.951497094593162,0.836122463380445,0.9,0.9
0.67331928099689,1.18373702678376,0.95,0.85
0.813665227782236,1.01778821392813,0.9,0.9
0.709547283126305,1.06976704962303,0.95,0.75
0.55926782295637,1.25130806704906,0.95,0.8
0.743611491562459,0.876132194523003,0.9,0.95
0.728465977974151,1.1099396500526,0.9,0.85
0.664817893183558,1.28225233916905,0.95,0.85
0.808717753068591,1.06287751274322,0.9,0.85
0.782472225564948,0.865672786687421,0.9,0.9
0.89612927599857,1.10248957920698,0.8,0.85
0.505826074562173,1.26752855151331,1,0.8
0.693660791822949,1.00576524340772,0.95,0.9
1.05870521876003,0.899020334353617,0.8,0.85
0.705022148501726,1.14327966075777,0.95,0.85
0.907974596440757,1.33166407030302,0.85,0.85
0.73214715504471,1.17284215465392,0.85,0.85
0.637053098473476,0.785478558050139,1,0.95
1.00605046221643,1.15064556600781,0.8,0.85
0.922343631775415,0.824940125046186,0.85,0.95
0.631561536906876,1.27235381314728,0.95,0.75
0.748867849163309,0.975743081724768,0.9,0.9
0.706557205576373,0.816817680585672,0.95,1
0.796715881817632,0.763306161544196,0.85,0.9
0.756516763919968,1.13641310060637,0.95,0.8
0.738922177092832,0.863629616800454,0.9,0.9
0.729535321655885,1.23806336188115,0.95,0.8
0.67450928108998,0.89624780174365,0.9,1
0.786858698933358,1.06645089540603,0.9,0.95
0.770333078881945,1.03730210249977,0.95,0.95
0.956055430787803,0.929684757947067,0.8,0.9
1.05704672794161,0.994880480513886,0.85,0.85
0.777971928786135,1.02121290700667,0.9,0.9
0.84236379344483,0.898228096646681,0.95,0.95
0.835157926706898,0.92124429445023,0.85,0.95
0.579783694125127,1.12866301538322,0.95,0.95
0.858485016061175,0.935217833448216,0.9,0.95
0.696071385262361,0.711250648748095,0.95,0.95
0.564757530361625,0.966065791507347,1,0.95
0.768305444363625,1.00640192795662,0.9,0.9
1.05773614423814,0.90878116109243,0.85,0.9
0.489273945148225,0.965035908169996,1,0.9
0.976203053455901,0.834753602049406,0.85,0.95
0.792580612809525,0.895019320723639,0.85,0.95
0.941734452638719,0.987407153251202,0.8,0.9
0.802766870246831,1.09923737233324,0.9,0.85
0.693296514047646,0.997928090001408,1,0.9
0.703457428088113,0.873697403648109,0.85,0.95
0.779810715881226,0.96870136702549,0.95,0.9
0.697876485761529,1.00584700534719,1,0.9
0.780092322710399,1.25335822786006,0.85,0.8
0.838067049314528,0.769349590642811,0.9,0.9
0.894154114481625,0.922891311840666,0.85,0.9
0.852011214858347,0.877813193752705,0.85,1
0.729233720197546,1.0708871529252,0.95,0.85
0.640442914453127,1.13872372298016,1,0.85
